feature,shap_importance
Race,0.2675346560328714
Operating Certificate Number,0.05735133618087456
Zip Code - 3 digits,0.053354593884930794
Payment Typology 1,0.030375451572867702
Facility Name,0.011872307983498812
Health Service Area,0.0
Payment Typology 2,0.0
APR Severity of Illness Code,0.0
APR Severity of Illness Description,0.0
APR Risk of Mortality,0.0
APR Medical Surgical Description,0.0
Birth Weight,0.0
Payment Typology 3,0.0
APR MDC Code,0.0
Abortion Edit Indicator,0.0
Emergency Department Indicator,0.0
Total Charges,0.0
APR MDC Description,0.0
APR DRG Code,0.0
APR DRG Description,0.0
Hospital County,0.0
CCS Procedure Description,0.0
CCS Procedure Code,0.0
CCS Diagnosis Description,0.0
CCS Diagnosis Code,0.0
Patient Disposition,0.0
Type of Admission,0.0
Length of Stay,0.0
Gender,0.0
Age Group,0.0
Facility Id,0.0
Total Costs,0.0
