feature,mean_importance
CCS Diagnosis Description,-0.000374898883384156
Gender,-0.00033454801071153284
APR Severity of Illness Description,-0.00032311624138433583
CCS Diagnosis Code,-0.0002925722502655992
APR MDC Code,-0.0001289735010929105
APR Medical Surgical Description,-6.581803552943021e-05
CCS Procedure Description,-5.192891599831162e-05
APR Risk of Mortality,-2.924924826290809e-05
Type of Admission,-2.4103369581363057e-07
Abortion Edit Indicator,0.0
APR DRG Description,0.00018353791654065476
Emergency Department Indicator,0.00028023685344248374
CCS Procedure Code,0.00032460250135019075
APR Severity of Illness Code,0.0003304118312763116
Total Costs,0.00039104053664600346
Length of Stay,0.0006802915922340391
Patient Disposition,0.0009246913767480769
Birth Weight,0.0010203567721044026
APR MDC Description,0.0010465234096618259
Payment Typology 3,0.0012765842921861892
APR DRG Code,0.0013194397772666178
Age Group,0.0027725525506911543
Total Charges,0.003149798613889143
Payment Typology 2,0.003905577570347818
Payment Typology 1,0.010318975063423752
Health Service Area,0.012734980613895918
Hospital County,0.02229986509632771
Zip Code - 3 digits,0.036335155071637204
Facility Id,0.04217056659158648
Operating Certificate Number,0.053037682101796026
Facility Name,0.07744946723450263
Race,0.2075532175830621
