feature,mean_importance
APR Severity of Illness Description,-0.0003889147384907865
APR DRG Description,-0.0001356809046129448
APR MDC Description,6.256986405245302e-05
APR Medical Surgical Description,0.00014465670980911004
Length of Stay,0.00015580920039075518
Gender,0.00036320379234300315
CCS Diagnosis Code,0.0004564983426413982
APR Risk of Mortality,0.0004703404220417373
CCS Diagnosis Description,0.000519498793153772
APR Severity of Illness Code,0.0007202883302186991
Abortion Edit Indicator,0.0007228954866727921
CCS Procedure Description,0.0007616582444743613
Patient Disposition,0.0008806029525029624
APR DRG Code,0.0010263333184398205
Payment Typology 3,0.0017648200589258979
Type of Admission,0.002231152484412613
APR MDC Code,0.0025744877568957937
CCS Procedure Code,0.002945441772429247
Emergency Department Indicator,0.0029688556151254543
Facility Id,0.0036208349966216024
Payment Typology 1,0.006482784055563617
Birth Weight,0.006627485807274347
Total Costs,0.006901131960802909
Payment Typology 2,0.008738872531382558
Total Charges,0.010850464473471988
Operating Certificate Number,0.011152724468446873
Health Service Area,0.012189661267278828
Hospital County,0.01307645707640157
Zip Code - 3 digits,0.013548301985384315
Age Group,0.015456806518609534
Facility Name,0.020933478439667343
Race,0.13034736132037653
