feature,mean_importance
CCS Diagnosis Code,-3.504907209052055e-05
CCS Procedure Description,-2.5748323693952636e-06
Emergency Department Indicator,-7.908420307956021e-07
Patient Disposition,1.1102230246251566e-17
Gender,1.1102230246251566e-17
APR Severity of Illness Code,1.1102230246251566e-17
Abortion Edit Indicator,2.2204460492503132e-17
APR Severity of Illness Description,2.2204460492503132e-17
APR Medical Surgical Description,3.3306690738754695e-17
APR MDC Code,7.160579236331622e-07
APR Risk of Mortality,4.214351514397751e-06
Total Charges,5.260344435009667e-06
APR DRG Description,9.041435616208294e-06
APR DRG Code,1.0493674310274592e-05
Length of Stay,1.3489703055924451e-05
Type of Admission,1.6166062542022353e-05
CCS Procedure Code,2.7132480485447806e-05
CCS Diagnosis Description,4.102563603872733e-05
Payment Typology 2,4.213357570014287e-05
Total Costs,4.323693723189415e-05
Birth Weight,5.259298836450821e-05
APR MDC Description,9.004432291178643e-05
Age Group,0.00025688071302881754
Payment Typology 3,0.0009685831632510577
Health Service Area,0.0030653918966599856
Hospital County,0.005543884081234418
Payment Typology 1,0.007504422410113021
Facility Name,0.01676415450315283
Facility Id,0.01793124352904273
Operating Certificate Number,0.01867608729611423
Zip Code - 3 digits,0.025374388015530002
Race,0.18796479837200536
