feature,mean_importance
Gender,-5.161019734344074e-06
Ethnicity,5.6573953716831936e-06
Abortion Edit Indicator,9.324204817971332e-05
APR Severity of Illness Description,0.00010224331505159223
Payment Typology 1,0.00011703256897707681
APR MDC Code,0.00016975455570829857
Patient Disposition,0.0001779126949832982
APR Risk of Mortality,0.00028542047678939143
Payment Typology 3,0.00046133857244578386
Race,0.0005497133349359251
APR Severity of Illness Code,0.0008122498486543853
CCS Diagnosis Description,0.0008230350619839219
Emergency Department Indicator,0.0008255742378322801
Payment Typology 2,0.0008285798162963723
APR DRG Code,0.0015908007703367602
CCS Procedure Description,0.0016553245017241452
Type of Admission,0.001963591031679382
APR DRG Description,0.0023291882671288206
CCS Procedure Code,0.002343657997114422
APR MDC Description,0.0028045952655756544
CCS Diagnosis Code,0.002992330321752397
APR Medical Surgical Description,0.006208305661862687
Age Group,0.00782661364063838
Zip Code - 3 digits,0.008467732075480253
Health Service Area,0.013475734552626989
Hospital County,0.018403319250205222
Birth Weight,0.019293111152769715
Length of Stay,0.03005294640990517
Facility Id,0.030545109365807566
Operating Certificate Number,0.038419337151423635
Facility Name,0.057134567978173
Total Charges,1.6227745926546913
