feature,mean_importance
APR Severity of Illness Description,0.0003767801979979224
Payment Typology 1,0.0004407597084937681
Patient Disposition,0.00053202812066597
Abortion Edit Indicator,0.0006309854898302492
CCS Diagnosis Description,0.000746623972704416
Gender,0.0007500292704754608
APR Risk of Mortality,0.0009047248297663236
Payment Typology 3,0.0009187375491961025
Ethnicity,0.0013515671553520846
CCS Procedure Description,0.001530660543957857
APR DRG Description,0.0020220295880243656
Race,0.0026929822398830267
Payment Typology 2,0.003039299939115364
Age Group,0.0033782582386367803
Type of Admission,0.0035379759779026964
APR Severity of Illness Code,0.00435450709462479
CCS Procedure Code,0.005087748244857795
APR MDC Description,0.006156633739673198
CCS Diagnosis Code,0.010567652649975756
Facility Id,0.013768514872919826
Emergency Department Indicator,0.017836097180465013
APR Medical Surgical Description,0.018949021501771614
APR MDC Code,0.022446016171544545
Health Service Area,0.023241659198239333
APR DRG Code,0.028992484266693395
Hospital County,0.029150430719715813
Zip Code - 3 digits,0.0296312953109507
Operating Certificate Number,0.036507228563736574
Facility Name,0.03935414924462928
Birth Weight,0.04095829107032164
Length of Stay,0.07790030220154523
Total Charges,1.3019150194495768
